0.0	0.0	9.0	8.0	17.0	1.0
0.0	0.0	22.0	21.0	43.0	0.1
0.0	3.0	8.0	14.0	19.0	0.5
0.0	5.0	13.0	16.0	24.0	0.5
0.0	6.0	18.0	2.0	22.0	0.5
0.0	12.0	10.0	15.0	13.0	1.0
0.0	15.0	2.0	28.0	15.0	0.5
0.0	16.0	13.0	22.0	19.0	0.5
0.0	17.0	19.0	17.0	19.0	0.5
0.0	19.0	14.0	10.0	23.0	0.5
0.0	19.0	16.0	12.0	23.0	1.0
0.0	21.0	21.0	16.0	26.0	0.5
0.0	23.0	9.0	16.0	16.0	0.5
0.0	23.0	15.0	14.0	24.0	0.1
0.0	30.0	1.0	4.0	27.0	1.0
0.0	30.0	11.0	9.0	32.0	0.5
1.0	7.0	21.0	20.0	33.0	1.0
1.0	10.0	3.0	1.0	11.0	1.0
1.0	10.0	12.0	8.0	13.0	0.5
1.0	16.0	13.0	13.0	15.0	0.5
1.0	25.0	10.0	18.0	16.0	1.0
1.0	25.0	19.0	16.0	27.0	1.0
2.0	3.0	21.0	12.0	28.0	0.5
2.0	6.0	20.0	10.0	22.0	0.5
2.0	10.0	17.0	22.0	27.0	1.0
2.0	11.0	21.0	8.0	22.0	1.0
2.0	15.0	13.0	9.0	17.0	0.5
2.0	16.0	0.0	4.0	14.0	0.5
2.0	16.0	22.0	20.0	24.0	0.5
2.0	20.0	13.0	17.0	14.0	0.5
2.0	22.0	22.0	13.0	29.0	0.1
2.0	30.0	16.0	11.0	33.0	0.1
3.0	0.0	22.0	13.0	32.0	0.5
3.0	2.0	16.0	9.0	20.0	0.1
3.0	8.0	12.0	18.0	19.0	1.0
3.0	14.0	10.0	19.0	12.0	0.1
3.0	18.0	17.0	21.0	17.0	0.5
3.0	22.0	20.0	12.0	27.0	0.5
3.0	28.0	15.0	10.0	30.0	0.5
3.0	29.0	22.0	0.0	48.0	0.5
4.0	0.0	20.0	19.0	35.0	0.5
4.0	3.0	15.0	15.0	23.0	0.5
4.0	6.0	14.0	22.0	26.0	0.5
4.0	7.0	17.0	15.0	21.0	0.5
4.0	10.0	0.0	6.0	8.0	0.1
4.0	11.0	11.0	22.0	18.0	0.1
4.0	14.0	5.0	0.0	15.0	0.5
4.0	17.0	12.0	21.0	12.0	0.1
4.0	17.0	15.0	12.0	16.0	1.0
4.0	19.0	19.0	21.0	17.0	0.5
4.0	20.0	10.0	0.0	26.0	0.5
4.0	20.0	18.0	15.0	19.0	0.1
4.0	22.0	21.0	21.0	18.0	0.5
4.0	25.0	17.0	18.0	20.0	0.1
4.0	25.0	18.0	9.0	30.0	0.5
4.0	26.0	8.0	15.0	15.0	0.5
4.0	28.0	15.0	21.0	18.0	0.5
4.0	29.0	14.0	22.0	17.0	1.0
4.0	30.0	10.0	19.0	17.0	0.5
5.0	2.0	18.0	13.0	24.0	0.5
5.0	6.0	12.0	14.0	15.0	0.5
5.0	10.0	2.0	29.0	22.0	0.5
5.0	13.0	11.0	19.0	12.0	0.5
5.0	14.0	22.0	12.0	19.0	0.5
5.0	16.0	2.0	0.0	19.0	1.0
5.0	17.0	18.0	12.0	18.0	0.5
5.0	17.0	27.0	0.0	39.0	1.0
5.0	23.0	12.0	21.0	9.0	1.0
5.0	25.0	22.0	17.0	25.0	0.1
5.0	30.0	19.0	14.0	30.0	0.5
6.0	0.0	10.0	19.0	23.0	0.5
6.0	6.0	10.0	12.0	10.0	0.5
6.0	14.0	19.0	8.0	19.0	0.5
6.0	19.0	8.0	9.0	12.0	0.1
6.0	24.0	21.0	14.0	25.0	0.5
7.0	0.0	22.0	30.0	45.0	1.0
7.0	1.0	17.0	6.0	15.0	0.1
7.0	4.0	19.0	12.0	20.0	0.5
7.0	9.0	8.0	15.0	7.0	0.5
7.0	11.0	8.0	23.0	13.0	0.1
7.0	13.0	9.0	8.0	7.0	0.5
7.0	19.0	13.0	9.0	16.0	0.1
7.0	25.0	4.0	30.0	8.0	1.0
7.0	25.0	29.0	0.0	47.0	0.5
7.0	28.0	18.0	18.0	21.0	0.1
8.0	7.0	12.0	27.0	24.0	0.5
8.0	10.0	4.0	18.0	12.0	0.1
8.0	11.0	4.0	23.0	16.0	1.0
8.0	12.0	17.0	21.0	18.0	0.5
8.0	14.0	20.0	8.0	18.0	0.5
8.0	18.0	9.0	8.0	11.0	1.0
8.0	24.0	18.0	8.0	26.0	1.0
8.0	24.0	19.0	1.0	34.0	0.1
8.0	28.0	8.0	3.0	25.0	0.1
9.0	1.0	17.0	10.0	17.0	0.1
9.0	2.0	18.0	21.0	28.0	0.5
9.0	9.0	11.0	9.0	2.0	0.5
9.0	11.0	21.0	16.0	17.0	0.5
9.0	12.0	4.0	19.0	12.0	1.0
